Art_Title,Department,Submission_Date,Artist,Nationality,Gender,Birth,Death
Dress MacLeod from Tartan Sets,Prints & Illustrated Books,1986,Sarah Charlesworth,American,Female,1947,2013
"Duplicate of plate from folio 11 verso (supplementary suite, plate 4) from ARDICIA",Prints & Illustrated Books,1978,Pablo Palazuelo,Spanish,Male,1916,2007
Tailpiece (page 55) from SAGESSE,Prints & Illustrated Books,1900,Maurice Denis,French,Male,1870,1943
"Headpiece (page 129) from LIVRET DE FOLASTRIES, À JANOT PARISIEN",Prints & Illustrated Books,1933,Aristide Maillol,French,Male,1861,1944
97 rue du Bac,Photography,1903,Eugène Atget,French,Male,1857,1927
Pictorial ornament (folio 11) from WOODCUTS,Prints & Illustrated Books,1957,Antonio Frasconi,American,Male,1919,2013
Rue de l'Hôtel-de-Ville,Photography,1924,Eugène Atget,French,Male,1857,1927
Los Angeles Airport,Photography,1980,Garry Winogrand,American,Male,1928,1984
Why Defy from Disasters of Peace,Prints & Illustrated Books,2001,Diane Victor,South African,Female,1964,1975
STILL WATER AND FISH,Prints & Illustrated Books,1941,David Brown Milne,Canadian,Male,1882,1953
In-text plate (folio 11) from LA MÉTROMANIE,Prints & Illustrated Books,1949,Jean Dubuffet,French,Male,1901,1985
Black Bathroom,Prints & Illustrated Books,1963,Jim Dine,American,Male,1935,1975
In-text plate (page 108) from LYSISTRATA,Prints & Illustrated Books,1909,František Kupka,Czech,Male,1871,1957
Transcendence. Designs for the Ballet,Drawings,1934,Franklin Chenault Watkins,American,Male,1894,1972
Untitled,Prints & Illustrated Books,1997,Christopher Wool,American,Male,1955,1975
Isadora Duncan,Drawings,1932,Abraham Walkowitz,American,Male,1878,1965
L'Avenir de la Propriété,Prints & Illustrated Books,1972,Pierre Alechinsky,Belgian,Male,1927,1975
Arundel Castle from Black Series I,Prints & Illustrated Books,1967,Frank Stella,American,Male,1936,1975
"Block fragments from the Samuel Freeman House, Los Angeles, CA",Architecture & Design,1923,Frank Lloyd Wright,American,Male,1867,1959
Plate (folio 35) from ACORDE,Prints & Illustrated Books,1979,Vicente Rojo,Spanish,Male,1932,1975
"Wolf House, Gubin, Poland (Third floor plan)",Architecture & Design,1926,Ludwig Mies van der Rohe,American,Male,1886,1969
"SA. Sovremennaia Arkhitektura (CA. Contemporary Architecture), no. 5",Prints & Illustrated Books,1929,Varvara Stepanova,Russian,Female,1894,1958
Untitled,Drawings,1972,Richard Serra,American,Male,1938,1975
Research on the Origin,Prints & Illustrated Books,1974,Robert Filliou,French,Male,1926,1987
Plate (folio 17) from KAFKA,Prints & Illustrated Books,1957,Roger Chancel,French,Male,1898,1976
Tailpiece (page 35) from SAINTE MONIQUE,Prints & Illustrated Books,1925,Pierre Bonnard,French,Male,1867,1947
Bowl,Architecture & Design,1974,Jacqueline Poncelet,British,Female,1947,1975
Tailpiece (folio 42 verso) from LES AMOURS,Prints & Illustrated Books,1915,Émile Bernard,French,Male,1868,1941
Tuileries (vase),Photography,1912,Eugène Atget,French,Male,1857,1927
Plate 23 (folio 25) from MALELADE,Prints & Illustrated Books,1989,Georg Baselitz,German,Male,1938,1975
"Duplicate of plate from folio 104 (supplementary suite, plate 95) from LA VILLE",Prints & Illustrated Books,1925,Frans Masereel,Belgian,Male,1889,1972
Untitled,Photography,1925,Unknown,Unknown,Unknown,1915,1975
"Plate (folio 28) from Six Geometric Figures and All Their Combinations, Volume I",Prints & Illustrated Books,1980,Sol LeWitt,American,Male,1928,2007
Chamber Music,Prints & Illustrated Books,1964,James Tenney,American,Male,1934,2006
Plate (following folio V) from NOTES,Prints & Illustrated Books,1968,Claes Oldenburg,American,Male,1929,1975
Chocolate Object (Schokolade-Objekt),Prints & Illustrated Books,1969,Dieter Roth,Swiss,Male,1930,1998
Mandry Ven'iamyna Tret'oho,Prints & Illustrated Books,1934,Moisei Fradkin,Unknown,Male,1915,1975
Dust jacket front (duplicate of folder front) from 2 POEMAS,Prints & Illustrated Books,1953,Antonio Frasconi,American,Male,1919,2013
Fun City from Fun City,Prints & Illustrated Books,1971,Richard Lindner,American,Male,1901,1978
Angels from Witebsk,Photography,1988,Wojciech Prazmowski,Polish,Male,1949,1975
Tailpiece (page 62) from FABLES,Prints & Illustrated Books,1818,Thomas Bewick,British,Male,1753,1828
Untitled,Drawings,2002,Spencer Sweeney,American,Male,1973,1975
Variety,Film,1926,Batiste Madalena,American,Male,1902,1988
Stars and Disasters (Astres et Désastres),Prints & Illustrated Books,1969,Pierre Alechinsky,Belgian,Male,1927,1975
"U.S. Embassy Building, Tokyo Project (Aerial perspective)",Architecture & Design,1914,Frank Lloyd Wright,American,Male,1867,1959
"Tuesday, Dec. 18, 1979",Painting & Sculpture,1979,On Kawara,Japanese,Male,1933,1975
"Bank by Andy Warhol. Gaudy Savings by RCA Color Scanner. Pretty as a Pigture, Huh?",Architecture & Design,1968,Andy Warhol,American,Male,1928,1987
"Pittsburgh, Pennsylvania",Photography,1979,Lee Friedlander,American,Male,1934,1975
Double page plate (between pages 96 and 97) from UBU ROI,Prints & Illustrated Books,1966,Joan Miró,Spanish,Male,1893,1983
"Unity Temple, Oak Park, IL",Architecture & Design,1904,Frank Lloyd Wright,American,Male,1867,1959
PORTRAITS DE CHOPIN,Prints & Illustrated Books,1949,Marc Chagall,French,Male,1887,1985
The Razorback Bunch (Etching III),Prints & Illustrated Books,1981,Robert Rauschenberg,American,Male,1925,2008
Identity Transfer from Program One: Aspen Projects,Media and Performance Art,1970,Dennis Oppenheim,American,Male,1938,2011
Lipstick (Ascending) on Caterpillar Track,Prints & Illustrated Books,1969,Claes Oldenburg,American,Male,1929,1975
"""1 PERSON/1 PLACE"" from the portfolio DETAILS FROM THE EXCAVATION OF WOOSTER STREET",Prints & Illustrated Books,1972,Richard Nonas,American,Male,1936,1975
Bagatelle,Photography,1924,Eugène Atget,French,Male,1857,1927
The Barbie Doll Drawings #27,Drawings,1967,Adrian Piper,American,Female,1948,1975
"Gericke House, project, Berlin-Wannsee, Germany, Landscape model",Architecture & Design,1932,Ludwig Mies van der Rohe,American,Male,1886,1969
Plate (page 209) from LES PETITES FLEURS,Prints & Illustrated Books,1928,Émile Bernard,French,Male,1868,1941
"Mechanical for Ticket for Fluxorchestra at Carnegie Hall, Carnegie Recital Hall, New York, September 25, 1965",Prints & Illustrated Books,1965,George Maciunas,American,Male,1931,1978
Untitled,Prints & Illustrated Books,2003,Louise Bourgeois,American,Female,1911,2010
"Banco Pinto & Sotto Mayor, Oliveira de Azeméis, Portugal, Plan sketch",Architecture & Design,1972,Álvaro Siza,Portuguese,Male,1933,1975
Overcast Dusk-Glassy Lake from Loon Lake: Eleven Drawings,Drawings,1983,Ellen Phelan,American,Female,1943,1975
"Golf Club Project, Krefeld, Germany",Architecture & Design,1930,Ludwig Mies van der Rohe,American,Male,1886,1969
Stamp Box,Architecture & Design,1946,Josef Hoffmann,Austrian,Male,1870,1956
"Library, Villeurbanne, France, Interior rear elevation",Architecture & Design,1984,Mario Botta,Swiss,Male,1943,1975
Studio II 1982 from Architecture Models 1980-2006 (Architektur Modelle 1980-2006),Prints & Illustrated Books,2006,Thomas Schütte,German,Male,1954,1975
"Looking out from Black Hawks Cave, Wisconsin Dells",Photography,1885,Henry Hamilton Bennett,American,Male,1843,1908
"Apollon Musagete, design for Scenery",Drawings,1942,Pavel Tchelitchew,American,Male,1898,1957
LA RUE DE LA PARCHEMINERIE APRÈS DÉMOLITION,Photography,1913,Eugène Atget,French,Male,1857,1927
Scroll Down and Keep Scrolling,Prints & Illustrated Books,2015,Fiona Banner,British,Female,1966,1975
"""Untitled""",Painting & Sculpture,1987,Felix Gonzalez-Torres,American,Male,1957,1996
Plate (page 89) from L'ÉVANGILE,Prints & Illustrated Books,1948,Léo Marchutz,French,Male,1903,1976
Pleasures and Terrors of Levitation 50,Photography,1965,Aaron Siskind,American,Male,1903,1991
Tailpiece (page 44) from FABLES,Prints & Illustrated Books,1818,Thomas Bewick,British,Male,1753,1828
"KOTSCHEI (plate, folio 7) from DEM FEUERVOGEL",Prints & Illustrated Books,1961,Helmut A. P. Grieshaber,German,Male,1909,1981
RUES LANNEAU ET DES CARMES,Photography,1925,Eugène Atget,French,Male,1857,1927
Plate (page 160) from RÉINCARNATIONS DU PÈRE UBU,Prints & Illustrated Books,1924,Georges Rouault,French,Male,1871,1958
"Landscape Triptych No. 1, State IV/IV",Prints & Illustrated Books,1962,Fred Williams,Australian,Male,1927,1982
"Mr. Bennett, Vermont",Photography,1944,Paul Strand,American,Male,1890,1976
Portrait of Alice (frontispiece) from Alice in Wonderland,Prints & Illustrated Books,1930,Marie Laurencin,French,Female,1883,1956
C.N.T. from the portfolio Color Guard Etcetera,Prints & Illustrated Books,1991,Juan Hidalgo,Spanish,Male,1927,1975
"Untitled. (portrait of man with dark glasses, Heino?)",Photography,1992,Michael Schmidt,German,Male,1945,2014
Fortune,Prints & Illustrated Books,2008,Kiki Smith,American,Female,1954,1975
"Meeting Street, Charleston, South Carolina, August 3, 1975",Photography,1975,Stephen Shore,American,Male,1947,1975
Cover for Old Stories (Les Vieilles Histoires),Prints & Illustrated Books,1893,Henri de Toulouse-Lautrec,French,Male,1864,1901
Untitled,Drawings,1966,Willem de Kooning,American,Male,1904,1997
"Double page plate (folios 14 and 15) from AMISH, Volume II",Prints & Illustrated Books,1968,Stephen White,American,Male,1948,1975
Are You Rea #17,Photography,1966,Robert Heinecken,American,Male,1931,2006
Headpiece (page 93) from PASSION,Prints & Illustrated Books,1933,Georges Rouault,French,Male,1871,1958
Bar Tools,Architecture & Design,1969,Studio Opi,Italian,Unknown,1955,1975
Multi-use Rocker Prototype,Architecture & Design,1942,Frederick Kiesler,American,Male,1890,1965
Cascade Mountains,Photography,1980,Lee Friedlander,American,Male,1934,1975
Japanese House in the Garden of the Museum of Modern Art,Architecture & Design,1955,Ezra Stoller,American,Male,1915,2004
"Neue Wache War Memorial Project, Berlin-Mitte, Germany",Architecture & Design,1930,Ludwig Mies van der Rohe,American,Male,1886,1969
[History of Art Chart],Prints & Illustrated Books,1957,George Maciunas,American,Male,1931,1978
Bagatelle,Photography,1922,Eugène Atget,French,Male,1857,1927
MR1002 Flower stand (Plan and detail sections),Architecture & Design,1934,Ludwig Mies van der Rohe,American,Male,1886,1969
FONTAINEBLEAU. COUR CHEVAL BLANC,Photography,1903,Eugène Atget,French,Male,1857,1927
The Toe Tactic,Film,2008,Emily Hubley,American,Female,1958,1975
"Paper Piece, Festival of Misfits, ICA, London, October 23- November 8, 1962",Prints & Illustrated Books,1962,Benjamin Patterson,American,Male,1934,2016
"Taliesin Fellowship Complex, Midway Farm, Spring Green, WI (Plan and elevation of tower and weather vane)",Architecture & Design,1944,Frank Lloyd Wright,American,Male,1867,1959
The Navy Needs You! Don't Read American History - Make It! U.S. Navy Recruiting Station,Architecture & Design,1916,James Montgomery Flagg,American,Male,1877,1960
Untitled,Drawings,2003,Carey Maxon,American,Female,1978,1975
Untitled from Program,Prints & Illustrated Books,2012,Jorge Pardo,American,Male,1963,1975
Plate (folio 8) from LE STANZE OSCURE,Prints & Illustrated Books,1965,Cesare Peverelli,Italian,Male,1922,2000
Photographic Views and Studies of Canadian Scenery,Photography,1865,Alexander Henderson,Canadian,Male,1831,1913
"Georgetown County Court House, Georgetown, South Carolina, February 20, 1976",Photography,1976,Stephen Shore,American,Male,1947,1975
"Meudon, ancien château",Photography,1902,Eugène Atget,French,Male,1857,1927
Bright Leaves,Film,2003,Ross McElwee,Unknown,Male,1915,1975
A Mounatin Called Desire (Una Montaña llamada deseo),Drawings,2010,Sandra Vásquez de la Horra,Chilean,Female,1967,1975
Plate XLVII from the Barcelona Series,Prints & Illustrated Books,1944,Joan Miró,Spanish,Male,1893,1983
Canto VI from 18 Cantos,Prints & Illustrated Books,1963,Barnett Newman,American,Male,1905,1970
Chagres River from the Fort,Photography,1875,Eadweard J. Muybridge,American,Male,1830,1904
"Men of Air, New York",Photography,1948,Robert Frank,American,Male,1924,1975
William Eggleston and Friend,Photography,1990,Lee Friedlander,American,Male,1934,1975
Seated Nude,Drawings,1913,Fernand Léger,French,Male,1881,1955
"Extraordinary Contorted ""Marble Cake"" Moraine of Susitna Glacier, Central Alaska",Photography,1958,Bradford Washburn,American,Male,1910,2007
"Friedrichstrasse Skyscraper Project, Berlin-Mitte, Germany (Floor plan)",Architecture & Design,1921,Ludwig Mies van der Rohe,American,Male,1886,1969
Ouray from Copper Series,Prints & Illustrated Books,1970,Frank Stella,American,Male,1936,1975
Bodies of Women (Corps de dames),Prints & Illustrated Books,1950,Jean Dubuffet,French,Male,1901,1985
Ear,Prints & Illustrated Books,2004,Louise Bourgeois,American,Female,1911,2010
Pablo Picasso,Photography,1926,Man Ray (Emmanuel Radnitzky),American,Male,1890,1976
Plate (folio 43) from ADVENTURES IN KU-TA-BA WA-DO,Prints & Illustrated Books,1973,Gerald Jackson,American,Male,1943,1975
